url,Engine Capacity,Registration Year,Mileage,VIN / Chassis No.,Transmission,Model Grade,Drive Type,Dimension,Fuel Type,Exterior Color,*Full VIN/Chassis no. will be shown on Invoice,Reference No.,Price,No. of Doors,Manufacture Year,No. of Seats,Steering,Model Code
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-69bbe44a0d235c808237d54f,2800 cc(2.80 liters),2019 / Nov,"4,000 km(Approx. 2,486 miles)",1033***,Automatic,ウェルキャブASタイプ S03023,-,16.5 m3,Diesel,White,Auction Grade,CFJ2512988,"US$ 36,053",4,-,-,-,GDH206Kカイ
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-69a012aded81a3d004ac19b2,1800 cc(1.80 liters),2025 / Sep,"1,000 km(Approx. 622 miles)",SL5-007***,Automatic,スポーツ EX,4WD,17 m3,Petrol,Gray,Auction Grade,CFJ2403015,"US$ 32,912",5,-,5,-,3BA-SL5
https://carfromjapan.com/cheap-used-toyota-harrier-2022-for-sale-6a08b196032fc805a375311c,2000 cc(2.00 liters),2022 / Aug,"52,000 km(Approx. 32,318 miles)",MXUA85-0011***,Automatic,★2.0 S 4WD,4WD,14.56 m3,Petrol,Black,Auction Grade,CFJ2797726,"US$ 18,384",5,-,5,-,6BA-MXUA85
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-6923c4509080346b3ebacc11,2000 cc(2.00 liters),2019 / Sep,"74,000 km(Approx. 45,991 miles)",TRH2000307***,Automatic,-,-,16.5 m3,Petrol,White,Auction Grade,CFJ1997385,"US$ 10,788",4,-,-,Right,CBF-TRH200K
https://carfromjapan.com/cheap-used-nissan-x-trail-2022-for-sale-69b9dd439c68685ec5c90fe4,1500 cc(1.50 liters),2022 / Nov,"18,700 km(Approx. 11,622 miles)",SNT33006***,Automatic,Ｓ　ｅ－４ＯＲＣＥ,4WD,17 m3,Hybrid,Silver,Auction Grade,CFJ2502257,"US$ 20,504",5,-,-,Right,SNT33
https://carfromjapan.com/cheap-used-volvo-xc60-2019-for-sale-6a08f89a032fc8ca187ce8f4,2000 cc(2.00 liters),2019 / Dec,"33,000 km(Approx. 20,510 miles)",YV1UZA8MCL1484***,Automatic,Ｄ４　ＡＷＤ　インスクリプション,4WD,17 m3,Diesel,White,Auction Grade,CFJ2797889,"US$ 26,896",5,-,5,Right,UD4204TXC
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-698faecd629dceae33dc52f4,1800 cc(1.80 liters),2025 / Jul,"3,700 km(Approx. 2,300 miles)",SL5004***,Automatic,スポーツ　ＥＸ,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2344546,"US$ 32,127",5,-,5,Right,SL5
https://carfromjapan.com/cheap-used-nissan-x-trail-2020-for-sale-6a0488f3a329fa45949a2450,2000 cc(2.00 liters),2020 / Dec,"45,000 km(Approx. 27,968 miles)",T32-555***,Automatic,20Xi★後期★7人★プロパイロット★エ,2WD,14.85 m3,Petrol,Red,Auction Grade,CFJ2780622,"US$ 11,824",5,-,7,-,5BA-T32
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-69b3476215dc0f7b91ebb41e,2500 cc(2.50 liters),2021 / Sep,"59,300 km(Approx. 36,855 miles)",AXAP540004***,Automatic,Ｇ　Ｚ,4WD,14.38 m3,Hybrid,Other,Auction Grade,CFJ2475227,"US$ 22,703",5,-,5,Right,AXAP54
https://carfromjapan.com/cheap-used-nissan-gt-r-2019-for-sale-6a0497834c42ba722c81de4d,3800 cc(3.80 liters),2019 / Dec,"8,000 km(Approx. 4,972 miles)",R35-130***,Automatic,ピュアエディション,4WD,12 m3,Petrol,Pearl,Auction Grade,CFJ2780867,"US$ 108,199",2,-,4,-,4BA-R35
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-6a078970032fc8f8fe371eda,1500 cc(1.50 liters),2022 / -,"11,000 km(Approx. 6,837 miles)",WBA62BX0407L50***,Automatic,218i エクスクルーシブ,2WD,11 m3,Petrol,Blue,Auction Grade,CFJ2793269,"US$ 20,347",5,-,5,-,3BA-62BX15
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-69a616a0427a297158a14884,1500 cc(1.50 liters),2022 / Nov,"8,000 km(Approx. 4,972 miles)",WBA62BXX0607L54***,Automatic,２１８ｉアクティブツアラー　Ｍスポーツ,-,11 m3,Petrol,White,Auction Grade,CFJ2424959,"US$ 20,897",5,-,5,Right,62BX15
https://carfromjapan.com/cheap-used-toyota-hiace-van-2020-for-sale-69f910bd1374d02a69e69aee,2800 cc(2.80 liters),2020 / Jan,"71,000 km(Approx. 44,127 miles)",GDH206-1033***,Automatic,ウェルキャブ 4WD,-,17.68 m3,Diesel,White,Auction Grade,CFJ2756489,"US$ 22,373",4,-,-,-,QDF-GDH206Kカイ
https://carfromjapan.com/cheap-used-bmw-2-series-2021-for-sale-69eb3250ac4038e7d86ca28e,2000 cc(2.00 liters),2021 / -,"27,000 km(Approx. 16,781 miles)",WBA32AM0707H01***,Automatic,218d プレイ,2WD,11.66 m3,Diesel,Red,Auction Grade,CFJ2706332,"US$ 11,832",4,-,5,-,3DA-7M20
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69d8bf42049d5f1975b1718a,2500 cc(2.50 liters),2019 / Nov,"49,000 km(Approx. 30,454 miles)",AXAH52-4002***,Automatic,ハイブリッドX,-,17 m3,Hybrid,Pearl,Auction Grade,CFJ2629628,"US$ 22,781",5,-,5,-,6AA-AXAH52
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69ed47e06159e517eec8846c,2000 cc(2.00 liters),2019 / Dec,"19,300 km(Approx. 11,995 miles)",MXAA542016***,Automatic,Ｘ,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2712541,"US$ 18,855",5,-,5,Right,MXAA54
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-69e699897344fe0eed0a69e1,1800 cc(1.80 liters),2025 / Jul,"12,000 km(Approx. 7,458 miles)",SL5-004***,Automatic,スポーツ,-,17 m3,Petrol,Gray,Auction Grade,CFJ2683867,"US$ 30,006",5,-,-,-,SL5
