url,engine_capacity,registration_year,mileage,vin_/_chassis_no.,transmission,model_grade,drive_type,dimension,fuel_type,exterior_color,*full_vin/chassis_no._will_be_shown_on_invoice,reference_no.,price,no._of_doors,manufacture_year,no._of_seats,steering,model_code,car_age,FOB (KES),Shipping (KES),Insurance (KES),CIF (KES),Import Duty (KES),Excise Duty (KES),IDF (KES),RDL (KES),VAT (KES),Port Charges (KES),Clearing Fees (KES),Registration (KES),TOTAL COST (KES)
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-69bc85d2fbd7adb2fabccd11,2000,2019,15900.0,SKE031***,Automatic,アドバンス,4WD,14.4 m3,Petrol,Pearl,Auction Grade,CFJ2516145,17991,5,-,5,Right,5AA-SKE,7,2329834.5,130000,34947.52,2494782.02,873173.71,623695.5,87317.37,49895.64,638664.2,50000,22500,10000,4850028.44
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69b6785dddf0333810fb3f47,2000,2019,30000.0,MXAA52-4002***,Automatic,X,-,17 m3,Petrol,Pearl,Auction Grade,CFJ2490601,19671,5,-,5,-,6BA-MXAA52,7,2547394.5,130000,38210.92,2715605.42,950461.9,678901.35,95046.19,54312.11,695194.99,50000,22500,10000,5272021.95
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-698e5f8134c5461aad808841,2000,2022,49900.0,WBA12AL0X07L10***,Automatic,Ｍ２３５ｉ　ｘＤｒｉｖｅグランクーペ,4WD,15 m3,Petrol,Black,Auction Grade,CFJ2338021,21273,4,-,5,Right,7L20,4,2754853.5,130000,41322.8,2926176.3,1024161.71,731544.08,102416.17,58523.53,749101.13,50000,22500,10000,5674422.91
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-69a0d5052feb6747dbd8fcc4,2000,2022,50000.0,WBA22BY0807L45***,Automatic,２１８ｄアクティブツアラー,2WD,12.6 m3,Diesel,White,Auction Grade,CFJ2406739,18384,5,-,5,Right,22BY20,4,2380728.0,130000,35710.92,2546438.92,891253.62,636609.73,89125.36,50928.78,651888.36,50000,22500,10000,4948744.78
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69af510d36beeea1cdfa4402,2500,2019,32900.0,AXAH544012***,Automatic,ハイブリッドＧ,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2458059,22310,5,-,5,Right,AXAH54,7,2889145.0,130000,43337.17,3062482.17,1071868.76,918744.65,107186.88,61249.64,808495.29,50000,22500,10000,6112527.4
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69fe716b96adc378ead376e1,2000,2019,31800.0,MXAA544010***,Automatic,4WD_G_Zパッケージ,4WD,17 m3,Petrol,Pearl,Auction Grade,CFJ2768352,21116,5,-,5,Right,6BA-MXAA54,7,2734522.0,130000,41017.83,2905539.83,1016938.94,726384.96,101693.89,58110.8,743818.2,50000,22500,10000,5634986.62
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-6a080cb56c3bf8425f96f9f4,2500,2019,51000.0,SK9-028***,Automatic,プレミアム 4WD,-,17 m3,Petrol,Other,Auction Grade,CFJ2796226,14358,5,-,-,-,5BA-SK9,7,1859361.0,130000,27890.41,2017251.42,706038.0,605175.42,70603.8,40345.03,532554.37,50000,22500,10000,4054468.04
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-69b88bb6d1656c9bf636993a,2500,2021,92800.0,AXAP540002***,Automatic,ブラックトーン,4WD,17 m3,Hybrid,Red,Auction Grade,CFJ2496887,21525,5,-,5,Right,AXAP54,5,2787487.5,130000,41812.31,2959299.81,1035754.93,887789.94,103575.49,59186.0,781255.15,50000,22500,10000,5909361.33
https://carfromjapan.com/cheap-used-toyota-hiace-van-2020-for-sale-69fcedaf0202b636fa433a54,2800,2020,114000.0,GDH206-1036***,Automatic,ウェルキャブ,-,17.68 m3,Diesel,White,Auction Grade,CFJ2762848,20017,4,-,-,-,QDF-GDH206Kカイ,6,2592201.5,130000,38883.02,2761084.52,966379.58,828325.36,96637.96,55221.69,728926.31,50000,22500,10000,5519075.42
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-69682448fe76744ee21bf99c,2000,2019,25300.0,SKE030***,Automatic,アドバンス,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2208786,18776,5,-,5,Right,SKE,7,2431492.0,130000,36472.38,2597964.38,909287.53,649491.09,90928.75,51959.29,665078.88,50000,22500,10000,5047209.93
